DATE TIME,EVAP_CFS,RIV_REL_CFS,RAIN_IN,PPT_INC_IN,PPTINC4_IN,ABV_TOC_AF,RES_ELE_FT,STORAGE_AF,INFLOW_CFS,OUTFLOW_CFS,RES_CHG_AF,TOC_STO_AF
2014-10-01 00:00,67,,0.00,0.00,0.00,"-2,262,463",675.25,"1,075,537","2,151","2,222",-342,"3,338,000"
2014-10-02 00:00,89,,0.00,0.00,0.00,"-2,249,689",675.29,"1,075,811","1,572","1,345",274,"3,325,500"
2014-10-03 00:00,69,,0.00,0.00,0.00,"-2,236,778",675.35,"1,076,222","1,471","1,230",411,"3,313,000"
2014-10-04 00:00,62,,0.00,0.00,0.00,"-2,227,426",674.89,"1,073,074",796,"2,322","-3,148","3,300,500"
2014-10-05 00:00,62,,0.00,0.00,0.00,"-2,216,634",674.64,"1,071,366","1,557","2,322","-1,708","3,288,000"
2014-10-06 00:00,89,,0.00,0.00,0.00,"-2,207,682",674.12,"1,067,818",700,"2,434","-3,547","3,275,500"
2014-10-07 00:00,72,,0.00,0.00,0.00,"-2,198,312",673.66,"1,064,688","1,166","2,672","-3,131","3,263,000"
2014-10-08 00:00,81,,0.00,0.00,0.00,"-2,190,632",672.95,"1,059,868",166,"2,515","-4,820","3,250,500"
2014-10-09 00:00,66,,0.00,0.00,0.00,"-2,181,044",672.52,"1,056,956","1,402","2,668","-2,912","3,238,000"
2014-10-10 00:00,66,,0.00,0.00,0.00,"-2,171,855",672.03,"1,053,645","1,119","2,859","-3,311","3,225,500"
2014-10-11 00:00,56,,0.00,0.00,0.00,"-2,163,063",671.48,"1,049,937","1,277","3,023","-3,708","3,213,000"
2014-10-12 00:00,55,,0.00,0.00,0.00,"-2,153,792",671.00,"1,046,708","1,418","3,024","-3,228","3,200,500"
2014-10-13 00:00,80,,0.00,0.00,0.00,"-2,144,915",670.46,"1,043,085","1,263","3,010","-3,624","3,188,000"
2014-10-14 00:00,34,,0.00,0.00,0.00,"-2,138,436",669.56,"1,037,064",339,"3,375","-6,021","3,175,500"
2014-10-15 00:00,50,,0.60,0.60,0.36,"-2,129,870",668.97,"1,033,130","1,589","3,492","-3,934","3,163,000"
2014-10-16 00:00,31,,0.60,0.00,0.24,"-2,134,392",668.29,"1,028,608",680,"2,962","-4,522","3,163,000"
2014-10-17 00:00,22,,0.60,0.00,0.00,,667.60,"1,024,034","1,092","3,343","-4,574","3,163,000"
2014-10-18 00:00,24,,0.60,0.00,0.00,,666.84,"1,019,012","1,089","3,598","-5,022","3,163,000"
2014-10-19 00:00,24,,0.60,0.00,0.00,"-2,148,270",666.19,"1,014,730","1,162","3,330","-4,282","3,163,000"
2014-10-20 00:00,59,,0.88,0.28,0.00,"-2,153,916",665.33,"1,009,084",298,"3,052","-5,646","3,163,000"
2014-10-21 00:00,17,,0.88,0.00,0.28,"-2,157,909",664.72,"1,005,091",963,"2,959","-3,993","3,163,000"
2014-10-22 00:00,35,,0.88,0.00,0.00,"-2,162,998",663.94,"1,000,002",207,"2,770","-5,089","3,163,000"
2014-10-23 00:00,21,,0.88,0.00,0.00,"-2,160,782",664.28,"1,002,218",281,"2,980","2,216","3,163,000"
2014-10-24 00:00,12,,0.88,0.00,0.00,"-2,175,968",661.94,"987,032",-856,"2,983","-15,186","3,163,000"
2014-10-25 00:00,14,,1.84,0.96,0.00,"-2,180,673",661.21,"982,327",653,"3,011","-4,705","3,163,000"
2014-10-26 00:00,14,,1.84,0.00,0.96,"-2,185,299",660.49,"977,701",689,"3,006","-4,626","3,163,000"
2014-10-27 00:00,58,,1.84,0.00,0.00,"-2,189,974",659.76,"973,026",676,"3,006","-4,675","3,163,000"
2014-10-28 00:00,18,,1.84,0.00,0.00,"-2,196,736",658.70,"966,264","1,320","3,008","-6,762","3,163,000"
2014-10-29 00:00,30,,1.84,0.00,0.00,"-2,199,088",658.33,"963,912",262,"2,800","-2,352","3,163,000"
2014-10-30 00:00,7,,1.84,0.00,0.00,"-2,203,338",657.66,"959,662",282,"2,514","-4,250","3,163,000"
2014-10-31 00:00,25,,2.28,0.44,0.00,"-2,209,280",656.72,"953,720",-584,"2,513","-5,942","3,163,000"
2014-11-01 00:00,0,,2.96,0.68,0.84,"-2,212,241",656.25,"950,759","1,049","2,511","-2,961","3,163,000"
2014-11-02 00:00,0,,2.96,0.00,0.28,"-2,215,950",655.66,"947,050",684,"2,554","-3,709","3,163,000"
