MONTH,EVAP_CFS,RIV_REL_CFS,RAIN_IN,PPT_INC_IN,PPTINC4_IN,ABV_TOC_AF,RES_ELE_FT,STORAGE_AF,INFLOW_CFS,OUTFLOW_CFS,RES_CHG_AF,TOC_STO_AF
2014-10,45.4516129,,0.668387097,0.073548387,0.059354839,-2183834.966,667.553871,1024236.516,845.1612903,2785.419355,-3940.612903,3205338.71
2014-11,18.4,,3.842666667,0.12,0.128666667,-2245469.545,650.5636667,915513.3333,937.3333333,1662.733333,-1442.466667,3163000
2014-12,21.84375,,15.15,0.4325,0.436875,-1739702.031,684.446875,1146248.875,7415.46875,444.96875,13754.40625,2882097.594
2015-01,11.61290323,,19.22064516,0.001290323,0.002903226,-1652315.742,718.5751613,1402109.581,2200.967742,611.0645161,3128.032258,3054425.29
2015-02,26.92857143,,21.94428571,0.131428571,0.13,-1478203.964,743.6585714,1621635.821,5927.464286,652.5357143,10412.92857,3099839.75
2015-03,41.03225806,,23.0916129,0.012903226,0.014193548,-1389165.767,760.0051613,1772777.419,1882.354839,895.0645161,1873.935484,3161346.433
2015-04,63.9,,24.67333333,0.084,0.084,-1482567.933,762.7983333,1799965.633,1312.733333,1435.533333,-370.5,3282533.5
2015-05,71.4516129,,25.84,0,0,-1870535,747.8496774,1658551.613,827.1290323,4286.774194,-7003.83871,3529086.581
2015-06,99.43333333,,25.97333333,0.005333333,0.005333333,-2053770.241,728.5926667,1486600.767,1098.566667,3855.7,-5666.333333,3538000
2015-07,91.32258065,,26.18580645,0.007741935,0.008275862,-2265711.935,702.1458065,1272288.065,1014.483871,4721.903226,-7529.935484,3538000
2015-08,75.12903226,,26.24387097,0.001290323,0.001290323,-2436091.733,679.1003226,1102301,1353.774194,2737.548387,-2898.129032,3538000
2015-09,70.76666667,,26.41866667,0.009333333,0.009333333,-2430365.767,672.6193333,1057634.233,1434.9,1615.5,-496.3333333,3488000
2015-10,49.41935484,,0.252903226,0.015483871,0.016129032,-2166741.387,669.7748387,1038570.032,1470.806452,2246.83871,-1635.387097,3205311.419
2015-11,18.56666667,,2.708,0.096,0.104666667,-2200104.567,658.1423333,962895.4333,575.4666667,1856.266667,-2579.266667,3163000
2015-12,15.64516129,,6.510967742,0.178064516,0.174193548,-2128175.129,655.8541935,948758.8387,2685.548387,1244.16129,2828.548387,3076934.032
